Number,BackGround,Talker,Face,Speech,Direction,A,B,C,Sequence,Name,Serial Number
1,프롤로그,,,흐레스트 건국령 258년.,,,,,0,0. 엘리파 마을의 예비 기사들,1-1
2,,,,19년 전 부터 이어져온 흐레스트 왕국과 마왕군의 기나긴 전쟁은 여전히 끝날 기미가 보이지 않았다.,,,,,,,
3,,,,왕국을 향한 마왕의 이유모를 분노는 사람들을 불안에 떨게 하였으며 국가의 정세는 계속해서 흔들렸다.,,,,,,,
4,,,,이에 왕국에서는 마왕군에 대적할 기사단을 전국적으로 모집하기 시작했다. ,,,,,,,
5,,,,"그 중 ‘쉬폴리 기사단’은 국왕 흐레스트 4세를 호위하는 직속 친위대로, 모든 수련생들이 동경하는 기사단이었다.",,,,,,,
6,,,,한편 수도에서 가장 멀리 떨어져 비교적 평화로운 왕국의 변두리. 엘리파 마을.,,,,,,,
7,,,,특산물인 사과 외에는 별다른 특징이 없는 이곳에도 쉬폴리 기사단의 입단을 위해 땀 흘리며 수련하는 세명의 수련생들이 있었다...,,,,,,,
8,멜의 집,안톤,무심함,멜. ,1,,,,,,
9,,멜,웃음,"앗, 안톤! 무슨 일이야?",5-1,안톤,멜,,,,
10,,안톤,무심함,수련시간 거의 다 됐는데 잊어버리고 있는 것 같길래 데리러 왔어.,,,,,,,
11,,멜,의문,아냐! 이제 막 가려고 했는걸!,,,,,,,
12,,안톤,무심함,아닌 것 같은데. 아직 신발도 안 신고 있잖아?,,,,,,,
13,,멜,놀람,헉.,,,,,,,
14,,안톤,웃음,누굴 속이려고. 빨리 가자.,8-1,멜,안톤,,,,
15,,멜,당황,"으으. 정말, 좀처럼 속아주는 걸 못 본다니까!",11,,,,,,
16,엘리파 마을,멜,웃음,(나는 기사 연습생 멜.),,,,,,,
17,,멜,,(부모님이 계신 수도의 쉬폴리 기사단에 입단하기 위해 친구들과 함께 수련중이다.),,,,,,,
18,,안톤,웃음,루나. 멜 데려왔어.,1,안톤,,,,,
19,,루나,웃음,수고했어. 안녕 멜~ 오늘도 늦잠 잤지?,1,루나,,,,,
20,,멜,진지함,아냐! 안톤이 막 나가려고 했을 때 왔는걸.,6-1,루나,멜,,,,
21,,루나,무표정,정말?,,,,,,,
22,,안톤,무표정,아마. 그래도 현관에는 나와 있었어.,10,루나,멜,안톤,,,
23,,멜,웃음,(안톤은 태어나서부터 거의 옆에서 함께 자란 나의 단짝친구다.),,,,,,,
24,,멜,,"(마법에 재능이 있어서, 기사단의 마법사를 목표로 수련하고 있다.)",,,,,,,
25,,멜,,(표정변화도 별로 없고 무뚝뚝해 보이지만 속은 꼭 그렇지만은 않다는 걸 나는 잘 알고 있어!),,,,,,,
26,,루나,무표정,그럼 굳이 안톤을 안 보내도 괜찮았겠네.,9,멜,안톤,루나,,,
27,,멜,웃음,(루나도 굉장히 오래 본 친구다.),,,,,,,
28,,멜,,(어렸을 때 숲에 혼자 있던 것을 나와 안톤이 발견해 마을로 데리고 왔다.),,,,,,,
29,,멜,,(그 후로 루나도 함께 기사단의 궁수를 목표로 열심히 노력하고 있다.),,,,,,,
30,,멜,밝게 웃음,(그리고 사과파이를 굉장히 잘 만든다!),,,,,,,
31,,멜,기대,루나! 오늘도 수련 끝나고 사과 파이 만들어 줄거지?,,,,,,,
32,,루나,무표정,집에 사과가 남아있는지 모르겠는데?,,,,,,,
33,,멜,기대,없으면! 나랑 안톤이 사올게!,,,,,,,
34,,안톤,당황,나도??,10,루나,멜,안톤,,,
35,,멜,웃음,당연하지. 안톤도 먹을거잖아.,,,,,,,
36,,안톤,무심함,......,,,,,,,
37,,안톤,웃음,그래.,,,,,,,
38,,루나,무표정,"좋아. 그럼 그렇게 하기로 하고, 슬슬 시작할 시간이야.",9,멜,안톤,루나,,,
39,,멜,읏음,오늘도 힘내자!,,,,,,,
40,,전투,,,,,,,,,
41,,멜,밝게 웃음,오늘의 수련은 여기서 끝!,1,멜,,,,,
42,,안톤,웃음,수고했어.,6-1,멜,안톤,,,,
43,,루나,무표정,그럼 이제 집에 사과가 있는지 확인해 볼까?,9,멜,안톤,루나,,,
44,루나의 집,루나,무표정,어디보자.,1,루나,,,,,
45,,안톤,무심함,있어?,6-1,루나,안톤,,,,
46,,루나,집중,기다려 봐. 안쪽에 있단 말이야.,,,,,,,
47,,멜,의문,안톤. 너 시장 가기 싫어서 그러는 거지?,10,루나,안톤,멜,,,
48,,안톤,무심함,어. 사람 많은 곳은 질색이라고.,,,,,,,
49,,멜,웃음,그래도 내가 같이 가달라면 가줄거잖아.,,,,,,,
50,,루나,웃음,찾았다~!,1,,,,,,
51,,멜,기대,와!!,1,,,,,,
52,,루나,웃음,"금방 구워올게, 친구들.",1,,,,,,
-1,,,,,,,,,,,
