Number,BackGround,Talker,Face,Speech,Direction,A,B,C,Sequence,Name,Serial Number,
0,시장,안톤,피곤,하아....,,,,,1,1. 사과파이 소동,1-2,
1,,멜,웃음,"어쩔 수 없어, 안톤. 저번에 남아있던 사과가 마지막이었다잖아.",,,,,,,,
2,,루나,무표정,안톤.. 사람들 사이에 주기적으로 나와 줘야 활기가 돌고 그러는거야. \인간은 사회적 동물이잖아.,,,,,,,,
3,,안톤,피곤,그럼 나는 사람이 아닌가보지..,,,,,,,,
4,,과일가게 주인,,"싸다, 싸! 신선한 과일들 보고가세요!",,,,,,,,
5,,멜,웃음,안녕하세요! 사과 다섯 개 주시겠어요?,,,,,,,,
6,,과일가게,,"아이고, 이를 어쩐다. 오늘 사과는 다 떨어졌어.",,,,,,,,
7,,멜,의문,그렇구나.. 알겠습니다! 다음에 올게요!,,,,,,,,
8,,루나,무표정,안녕하세요~ 사과 있나요?,,,,,,,,
9,,과일가게 주인2,,없수다. 오늘 치는 다 나갔어.,,,,,,,,
10,,루나,당황,그런가요? 이상하다..,,,,,,,,
11,,안톤,무심함,사과 있어요?,,,,,,,,
12,,,,(팻말에 과일이 모두 팔려 오늘 장사는 정리한다고 쓰여있다.),,,,,,,,
13,,안톤,피곤,오늘만 사과파이는 포기하면 안될까.,,,,,,,,
14,,멜,우울,먹고싶은데!,,,,,,,,
15,,루나,무표정,"그럼 오늘은 우리가 직접 따러 갔다오는 건 어때?\어차피 숲으로 조금만 들어가면 많이 열려있을텐데.",,,,,,,,
16,,안톤,당황,숲은 위험하잖아..,,,,,,,,
17,,안톤,피곤,"하지만 뭐, 사과만 따고 나오는 거라면야.",,,,,,,,
18,,안톤,피곤,빨리 갔다오자.,,,,,,,,
19,숲,멜,기대,저기! 사과나무가 잔뜩 모여있네!,,,,,,,,
20,,루나,무표정,좋아. 적당히만 따 가자.,,,,,,,,
21,,안톤,당황,잠깐. 무슨 소리 안 들려?,,,,,,,,
22,,애벌레,,무우!,,,,,,,,
23,,안톤,경악,으아아아악!!!!,,,,,,,,
24,,루나,당황,안톤?! 왜 그래? 설마 마물이라도 나온거야?!!,,,,,,,,
25,,멜,의문,에벌레가 나왔어.,,,,,,,,
26,,안톤,경악,크기가 애벌레가 아니잖아!!,,,,,,,,
27,,애벌레,,무우우!!! 무우우우우!!!,,,,,,,,
28,,멜,웃음,화내는 것 봐! 귀여워!,,,,,,,,
29,,안톤,경악,당장 안 쫓아내면 나 숲에 불 지를거야!!!,,,,,,,,
30,,루나,웃음,확실히 그건 곤란하지.,,,,,,,,
31,,전투,,-전투 처리: 애벌레x3-,,,,,,,,
32,,안톤,피곤,하아아아.......,,,,,,,,
33,,루나,무표정,수고했어. 사과도 다 땄고.,,,,,,,,
34,,멜,기대,빨리 돌아가자! 싸웠더니 배고파졌어!,,,,,,,,
35,,안톤,피곤,눈물날 것 같아...,,,,,,,,
-1,,,,,,,,,,,,
