Number,BackGround,Talker,Face,Speech,Direction,A,B,C,Sequence,Name,Serial Number
0,엘리파 마을,멜,웃음,오늘도 좋은하루! 다들 수련할 준비 됐지?,,,,,1,2. 수상한 밤,1-3
1,,루나,무표정,물론!,,,,,,,
2,,안톤,슬픔,...,,,,,,,
3,,멜,의문,안톤? 무슨 일 있어? ,,,,,,,
4,,안톤,슬픔,아니. 괜찮아.,,,,,,,
5,,루나,당황,몸 상태가 안 좋아 보이는데.. 무리하지 마.,,,,,,,
6,,안톤,당황,괜찮다니까. 시작하자.,,,,,,,
7,,전투,,-전투처리: 훈련용 허수아비x3-,,,,,,,
8,밤의 엘리파 마을,멜,의문,오늘도 엄청 피곤하다.,,,,,,,
9,,멜,웃음,빨리 가서 쉬어야지.,,,,,,,
10,,멜,의문,응? 저건..,,,,,,,
11,,안톤,당황,....,,,,,,,
12,,멜,놀람,안톤?,,,,,,,
13,,멜,놀람,숲으로 가고 있잖아..? 이 시간에 무슨 일이지?,,,,,,,
13,루나의 집,루나,당황,멜? 이 시간에 무슨일이야?,,,,,,,
14,,멜,걱정,안톤이 숲으로 갔어!,,,,,,,
15,,루나,당황,뭐라고?,,,,,,,
16,,멜,걱정,방금 물 마시다가 봤어! 분명 안톤이었어.,,,,,,,
17,,루나,당황,"이 시간에 대체 왜 숲을..알았어. 내가 한번 따라가볼게.\걱정하지 말고 집에 가 있어.",,,,,,,
18,밤의 숲,루나,당황,"안톤 얘는, 이 늦은 밤에 대체 왜 이렇게 깊게까지 들어온거야..",,,,,,,
19,,루나,당황,마물이라도 만나면 어쩌려...어?,,,,,,,
20,,안톤,분노,[마물과 안톤이 같이 서있는 모습.] ....,,,,,,,
21,,루나,놀람,!!! 저럴 줄 알았어! 안-,,,,,,,
22,,안톤,분노,알겠어.,,,,,,,
23,,루나,당황,?,,,,,,,
24,,안톤,분노,당신 말대로 할게.,,,,,,,
25,,루나,당황,...!!,,,,,,,
26,,보좌관 (좌),,현명한 판단이다.,,,,,,,
27,,보좌관 (좌),,마왕님께서도 기뻐하실 것이다.,,,,,,,
28,,루나,당황,...!!!,,,,,,,
29,,안톤,분노,그럼 내가 뭘 해야 하는지 말해.,,,,,,,
30,,보좌관 (좌),,일은 그렇게 어렵지 않다.,,,,,,,
31,,보좌관 (좌),,"마을에서 밀 빛 머리카락에 청록색 눈동자를 가진 인간을 찾아서,\그 인간의 피를 바닥에 뿌리면 된다.",,,,,,,
32,,루나,절망,!!,,,,,,,
33,,안톤,놀람,뭐라고?,,,,,,,
34,,안톤,분개,죽이라는 건가? 난 그런 짓까지는 못해!,,,,,,,
35,,보좌관 (좌),,진정해라. 죽이라는 게 아니다.,,,,,,,
36,,보좌관 (좌),,그냥 피를 한 방울이라도 땅에 닿게 하면 끝나는 일이다.,,,,,,,
37,,안톤,놀람,......,,,,,,,
38,,안톤,슬픔,알았어.,,,,,,,
39,,루나,절망,안톤...너 설마..,,,,,,,
40,,루나,절망,제일 상처받은 건 너였다고 생각했는데.,,,,,,,
41,,루나,분노,네가 어떻게 이럴 수가 있어?,,,,,,,
-1,,,,,,,,,,,
